Question,Type,Difficulty,True Answer,Number of Options
"32 g of solid sugar is added to 68 g of liquid water at room temperature
and allowed to reach equilibrium. No solid sugar is observed within
the container. The temperature is then lowered to a temperature T1
and allowed to reach equilibrium. At temperature T1 it is observed
that only solid sugar and solid water (ice) exist. There is no solubility
of sugar in solid water, nor of water in solid sugar. How many grams
of ice are present in this container?
(a) 68 g
(b) 32 g
(c) 36 g
(d) None of these options",Original,Easy,a,4
"A newly discovered element ZZZ (sleepium) has an atomic radius of
128 pm, a molar mass of 64.55 g/mol, and forms an FCC crystal, what
would you estimate the density of ZZZ to be?
(a) 9.0 g/cm^-3
(b) 25.5 g/cm^-3
(c) 16.5 g/cm^-3
(d) 3.2 g/cm^-3",Original,Hard,a,4
"A photon with a wavelength of 300 nm is absorbed by an atom. An
electron is promoted to a higher energy level na but loses energy
through non-radiative processes (doesn't emit light), and reaches energy level nb. The electron then drops down to its ground level,
emitting a photon with a wavelength of 700 nm. What is the energy
difference between na and nb?
(a) 2.36 eV
(b) 3.01 eV
(c) 1.77 eV
(d) 1.54 eV",Original,Medium,a,4
"You are given two thin film samples of a semiconductor polymer for
the next generation of fexible iPhones. One is doped n-type, and the
other is p-type. The mobility for electrons and holes, respectively,
are 1053 and 575 cm2 V^-1 s^-1. The n-doped and p-doped samples
have a conductivity of 0.39 Ohm^-1 m^-1 and 0.32 Ohm^-1 m^-1, repectively.
Determine the relative dopant concentration between samples.
(a) The p-type concentration is 1.5 times higher than the n-type
(b) The n-type concentration is 1.6 times higher than the p-type
(c) The p-type concentration is 1.8 times higher than the n-type
(d) The n-type concentration is 1.4 times higher than the n-type",Original,Hard,a,4
"An 80 kg person must stand at the mid-span of a concrete beam
supported on either end. The beam has height 8 cm, width 13 cm,
and the concrete has a fracture strength of 28 MPa. Determine the
maximum possible span for this beam, such that fracture will not
occur.
(a) None of these options
(b) 247 m
(c) 20 m
(d) 30 m",Original,Hard,c,4
"Which of the following items would you expect to be optically transparent?
A. Non-porous, polycrystalline, silicon dioxide
B. Non-porous, single crystal, silicon dioxide
C. Porous, polycrystalline, silicon dioxide
D. Porous, single crystal, silicon dioxide",Original,Medium,b,4
"An alien species makes first contact with humans on Earth. They have a
different standard state, but interestingly they still use the Joule as the unit of energy.
They are interested in our barbecues and so they calculate the enthalpy change for the
combustion of one mole of propane. Do they calculate the same enthalpy change for this
reaction as we do?
A. No
B. Unable to determine
C. Yes",Original,Medium,c,3
"A reaction with a positive enthalpy change and a negative entropy change will
be spontaneous under which of the following conditions?
A. Never
B. At high temperature
C. At all temperatures
D. At low temperatures",Original,Easy,a,4
"30 g of water is added to 70 g of sugar, cooled to -30 C and allowed to reach
equilibrium. How many grams of ice will be present?
A. 70 g
B. 30 g
C. 100 g
D. 0 g
",Original,Easy,b,4
"A sample of a heavily cold worked 316L stainless steel is heated for several hours in a furnace at 1065 C. The sample is then allowed to cool to room temperature. Relative to the value before the heat treatment, the Young's modulus after this heat treatment will be which of the following?
(a) The same as (b) Greater than (c) Less than
(d) Unable to determine with information provided",Original,Medium,a,2
"A sample of a heavily cold worked 316L stainless steel is heated for several hours in a furnace at 1065 C. The sample is then allowed to cool to room temperature. Relative to the value before the heat treatment, the yield strength after this heat treatment will be which of the following?
(a) Less than (b) Greater than
(c) The same as
(d) Unable to determine with information provided",Original,Medium,a,4
"A sample of a heavily cold worked 316L stainless steel is heated for several hours in a furnace at 1065 C. The sample is then allowed to cool to room temperature. Relative to the value before the heat treatment, the plastic deformation at fracture after this heat treat- ment will be which of the following?
(a) Greater than (b) Less than
(c) The same as
(d) Unable to determine with information provided",Original,Medium,a,4
"Which of the following is the best description of the difference between a vacancy and a pore?
(a) A vacancy involves only a single missing atom, whereas a pore involves a massive number, say 109 of missing atoms
(b) A vacancy occurs within a crystal, whereas a pore exists on the surface
(c) A vacancy is a linear imperfection, whereas a pore is a three dimensional imperfection
(d) None of these options.",Original,Easy,a,4
"Stress is described as being sample size independent for which of the following reasons?
(a) Because stress is force per unit area, so larger samples will also require larger force to achieve the same stress.
(b) Because stress is a dimensionless quantity
(c) Because stress is always the same, regardless of how many times you repeat a test
(d) None of these options.",Original,Easy,a,4
"Young's modulus is described as being structure independent for which of the following reasons?
(a) Because Young's modulus relates to a specific bond type, which does not change with microstructural changes
(b) Because Young's modulus is a dimensionless quantity
(c) Because Young's modulus does not depend on the size of a sam- ple being tested
(d) None of these options.",Original,Easy,a,4
"The stored elastic strain energy in tempered glass can be roughly related to which of the following?
(a) The surface energy liberated during fracture
(b) The strain energy surrounding dislocations in the glass (c) The thermal energy used to produce the glass
(d) None of these options.",Original,Medium,a,4
"?Which of the following is the best explanation for the reason that a few atoms in a solid at room temperature may have enough kinetic energy to break free of their nearest neighbour atoms, while the majority are held in place by bonds?
(a) There is a distribution of energies for a population of atoms (b) Crystalline imperfections mean that there will randomly be some missing bonds
(c) This occurs only to impurity atoms
(d) These result from manufacturing defects",Original,Medium,a,4
"A steel bar having a yield strength of 450 MPa, an ultimate tensile strength of 530 MPa and
dimensions 23 mm * 118 mm * 5900 mm is loaded in tension along its long axis. Which of the
following forces will cause the final length to be larger than 5900 mm, without necking?
a) 1.2 kN
b) 1.5 MN
c) 1.3 MN
d) 2.1 kN",Original,Hard,c,4
"Which of the following would be expected to change the Young's modulus of a metallic
sample?
a) Adding 1 atomic percentage impurity to the metal
b) Processing the metal to decrease the its grain (crystal) size
c) Increasing the strength through plastic deformation
d) Increasing the temperature to 0.6 Tm",Original,Medium,d,4
"A colleague states, ""the strength of this ceramic sample is 845 MPa."" Which of the following is
most likely to be the strength that your colleague is actually referring to?
a) The yield strength
b) The ultimate tensile strength
c) The fracture strength
d) The 0.2% offset yield strength",Original,Easy,c,4
"A paper you are reading states that a newly developed ceramic material was determined to
have strengths of 450 MPa and 1020 MPa. Which of the following are most likely to be the
material properties being referred to?
a) The compressive strength and the bending strength
b) The yield strength and the bending strength
c) The bending strength and the compressive strength
d) The bending strength and the yield strength",Original,Easy,c,4
"You come across handbook of material properties. Someone has spilled coffee on this book
and some of an important sentence is hidden by the coffee spill. The sentence is, ""Tensile
testing was performed on this new aluminum alloy and the _________ was determined to be
68.5 GPa."" Which of the following words is most likely to fill in the blank?
a) Young's modulus
b) Yield strength
c) Proportional limit
d) Ductility",Original,Easy,a,4
